stage,policy_class,description,fleet_value,fleet_annual_cost,fleet_availability,fleet_deficit,feasible_printer_pct,infeasible_floor_breached,n_test_printers,annual_cost_lo,annual_cost_hi,fleet_value_lo,fleet_value_hi,fleet_availability_lo,fleet_availability_hi
stage_01,constant τ,Optuna over constant τ,9923761311.981018,3620777.6758828363,0.057623868801898105,0.8923761311981019,0.0,True,15,3470947.353202847,3772928.0976252398,9523479957.856556,10121729483.903639,0.03782705160963591,0.09765200421434435
stage_02,constant τ,SSL+RUL surrogate over constant τ,10500000000.0,4044316.6965507804,0.0,0.95,0.0,True,15,3908060.623990556,4181069.917721736,10396774346.637466,10500000000.0,0.0,0.010322565336253253
stage_03_per_tick,per-printer τ,"PPO + SPR + ensemble, per-day decisions",2906381813.7605205,1374526.8375307966,0.7593618186239479,0.19063818137605204,0.0,True,15,1354062.1389953461,1394481.105940323,2857958143.7860656,2953922647.4223547,0.7546077352577645,0.7642041856213934
