stage,policy_class,description,fleet_value,fleet_annual_cost,fleet_availability,fleet_deficit,feasible_printer_pct,infeasible_floor_breached,n_test_printers,annual_cost_lo,annual_cost_hi,fleet_value_lo,fleet_value_hi,fleet_availability_lo,fleet_availability_hi,stage_label,annual_cost_delta_vs_stage01,annual_cost_reduction_vs_stage01_pct,value_delta_vs_stage01,value_reduction_vs_stage01_pct
stage_01,constant τ,Optuna over constant τ,9923761311.981018,3620777.675882836,0.0576238688018981,0.8923761311981019,0.0,True,15,3470947.353202847,3772928.09762524,9523479957.856556,10121729483.90364,0.0378270516096359,0.0976520042143443,Stage 01 - Optuna constant tau,0.0,0.0,0.0,0.0
stage_02,constant τ,SSL+RUL surrogate over constant τ,10500000000.0,4044316.696550781,0.0,0.95,0.0,True,15,3908060.623990556,4181069.917721736,10396774346.637466,10500000000.0,0.0,0.0103225653362532,Stage 02 - SSL/RUL surrogate tau,423539.02066794503,-0.11697460009462626,576238688.0189819,-0.058066560642010344
stage_03_per_tick,per-printer τ,"PPO + SPR + ensemble, per-day decisions",2906381813.7605205,1374526.8375307966,0.7593618186239479,0.190638181376052,0.0,True,15,1354062.138995346,1394481.105940323,2857958143.7860656,2953922647.4223547,0.7546077352577645,0.7642041856213934,Stage 03 - per-tick PPO+SPR ensemble,-2246250.8383520395,0.6203780069993796,-7017379498.220497,0.7071290086097064
