printer_id,annual_cost,availability,deficit,n_preventive,n_corrective
85,2551275.749384068,0.4889873619855826,0.4610126380144173,7306,1308
86,2730501.214754996,0.4436365088055479,0.506363491194452,7306,1464
87,2687057.1619217084,0.4572782644401861,0.4927217355598138,7306,1422
88,2512731.025869149,0.4968347933205584,0.4531652066794415,7306,1277
89,2834536.9730358613,0.42018546400219,0.5298145359978099,7306,1550
90,2804441.092937312,0.4296297563646318,0.5203702436353681,7306,1521
91,2684157.558855735,0.4563657724244913,0.4936342275755087,7306,1422
92,2394097.2659457983,0.522840815767862,0.4271591842321379,7306,1180
93,3326419.637968793,0.3079489460717218,0.6420510539282781,7306,1960
94,2448239.8542294004,0.510248425951273,0.439751574048727,7306,1225
95,2797891.9894607174,0.4316372387991605,0.5183627612008395,7306,1515
96,3129746.561045716,0.3527523040423396,0.5972476959576603,7306,1796
97,2684907.456200383,0.4545407883931016,0.4954592116068984,7306,1425
98,2768845.965644676,0.4374771876996076,0.5125228123003923,7306,1492
99,2971468.2281686286,0.3903013504881832,0.5596986495118168,7306,1662
