printer_id,annual_cost,availability,deficit,n_preventive,n_corrective
85,1449026.6390637832,0.7417020561456179,0.208297943854382,7306,393
86,1370087.445250479,0.7590850290446067,0.1909149709553932,7306,329
87,1365188.1159321107,0.7625068749247055,0.1874931250752944,7306,320
88,1405932.5383246648,0.7521957150561034,0.1978042849438965,7306,355
89,1391834.468245278,0.7539750736654658,0.1960249263345341,7306,347
90,1398483.5580344922,0.7546138190801934,0.1953861809198065,7306,348
91,1429879.2601970984,0.7455801470298231,0.2044198529701768,7306,378
92,1301796.79373118,0.7760117558444989,0.173988244155501,7306,269
93,1386835.1526142897,0.7574881689296326,0.1925118310703674,7306,338
94,1348290.4290993705,0.765426849192431,0.1845731508075689,7306,307
95,1364588.198056392,0.7622331267725018,0.1877668732274982,7306,320
96,1371887.198877635,0.7599975212428,0.1900024787572,7306,327
97,1328693.111825897,0.769441813331495,0.1805581866685049,7306,292
98,1309595.7261155215,0.775555510566645,0.174444489433355,7306,273
99,1395783.9275937586,0.7546138185326982,0.1953861814673018,7306,347
